序號,河川名稱,河川代碼,階層,上游河川,主流水系
,追分排水,143090,2,大甲溪,大甲溪
,王田支線,143091,3,追分排水,大甲溪
,王田石坑排水,1430A0,2,大甲溪,大甲溪
,成功嶺排水,1430B0,2,大甲溪,大甲溪
,溪尾寮排水,1430C0,2,大甲溪,大甲溪
,龜坑排水幹線,1430D0,2,大甲溪,大甲溪
,龜坑排水幹線-1,1430D1,3,龜坑排水幹線,大甲溪
,龜坑排水幹線-2,1430D2,3,龜坑排水幹線,大甲溪
,龜坑排水幹線-3,1430D3,3,龜坑排水幹線,大甲溪
44.0,萬寮溪,144000,1,,萬寮溪
45.0,洋仔厝溪,145000,1,,洋仔厝溪
46.0,員林大排水(鹿港溪),146000,1,,員林大排水(鹿港溪)
47.0,舊濁水溪(麥嶼溪),147000,1,,舊濁水溪(麥嶼溪)
48.0,萬興排水幹線(舊濁水溪),148000,1,,萬興排水幹線(舊濁水溪)
49.0,二林溪(沙山溪),149000,1,,二林溪(沙山溪)
50.0,魚寮溪,150000,1,,魚寮溪
51.0,濁水溪,151000,1,,濁水溪
,陳有蘭溪,151010,2,濁水溪,濁水溪
,和社溪,151011,3,陳有蘭溪,濁水溪
,沙里仙溪,151012,3,陳有蘭溪,濁水溪
,阿里不動溪,151013,3,陳有蘭溪,濁水溪
,筆石溪,151014,3,陳有蘭溪,濁水溪
,十八重溪,151015,3,陳有蘭溪,濁水溪
,內茅埔溪,151016,3,陳有蘭溪,濁水溪
,郡坑溪,151017,3,陳有蘭溪,濁水溪
,蒼庫溪,151018,3,陳有蘭溪,濁水溪
,清水溪,151020,2,濁水溪,濁水溪
,阿里山溪,151021,3,清水溪,濁水溪
,加走寮溪,151022,3,清水溪,濁水溪
,內田子溪,151023,3,清水溪,濁水溪
,雷公坑溪,151025,3,清水溪,濁水溪
,東埔蚋溪,151030,2,濁水溪,濁水溪
,萬大溪,151040,2,濁水溪,濁水溪
,卡社溪,151050,2,濁水溪,濁水溪
,郡大溪,151060,2,濁水溪,濁水溪
,巒大溪,151061,3,郡大溪,濁水溪
,丹大溪,151070,2,濁水溪,濁水溪
,卓棍溪,151080,2,濁水溪,濁水溪
,水里溪,151090,2,濁水溪,濁水溪
,南清水溝溪,1510A0,2,濁水溪,濁水溪
,塔羅灣溪,1510B0,2,濁水溪,濁水溪
52.0,新虎尾溪,152000,1,,新虎尾溪
53.0,舊虎尾溪,153000,1,,舊虎尾溪
54.0,北港溪,154000,1,,北港溪
,虎尾溪,154010,2,北港溪,北港溪
,石榴班溪,154011,3,虎尾溪,北港溪
,石仔坑溪,15401D,4,石榴班溪,北港溪
,內林溪,15401A,4,石榴班溪,北港溪
,牛埔溪,15401B,4,石榴班溪,北港溪
,大埔溪,154012,3,虎尾溪,北港溪
,海豐崙溪,154013,3,虎尾溪,北港溪
,雲林溪,154015,3,虎尾溪,北港溪
,芭蕉溪,15401C,4,雲林溪,北港溪
,三疊溪,154020,2,北港溪,北港溪
,九芎坑溪,154021,3,三疊溪,北港溪
,石龜溪,154022,3,三疊溪,北港溪
,興安排水,154023,3,三疊溪,北港溪
,興安中排四,15402A,4,興安排水,北港溪
,葉子寮溪,154024,3,三疊溪,北港溪
,大湖口溪,154030,2,北港溪,北港溪
,石牛溪,154040,2,北港溪,北港溪
,崙子溪,154041,3,石牛溪,北港溪
55.0,朴子溪,155000,1,,朴子溪
,牛稠溪,155010,2,朴子溪,朴子溪
,阿拔泉溪,155020,2,朴子溪,朴子溪
,崎腳溪,155030,2,朴子溪,朴子溪
,白樹腳溪,155040,2,朴子溪,朴子溪
,東廣寮溪,155041,3,白樹腳溪,朴子溪
,濁水溪,155050,2,朴子溪,朴子溪
,番子路科溪,155051,3,濁水溪,朴子溪
,清水溪,155052,3,濁水溪,朴子溪
,頂埔溪,15505A,4,清水溪,朴子溪
,獅子頭溪,155060,2,朴子溪,朴子溪
,嘉義排水,155070,2,朴子溪,朴子溪
,麻魚寮排水,155080,2,朴子溪,朴子溪
,埤麻腳排水,155081,3,麻魚寮排水,朴子溪
56.0,內田排水排水路(鹿草溪),156000,1,,內田排水排水路(鹿草溪)
57.0,龍宮溪,157000,1,,龍宮溪
58.0,八掌溪,158000,1,,八掌溪
,赤蘭溪,158010,2,八掌溪,八掌溪
,澐水溪,158011,3,赤蘭溪,八掌溪
,石硦溪,15801A,4,澐水溪,八掌溪
,頭前溪,158020,2,八掌溪,八掌溪
,牛稠埔坑溪,158021,3,頭前溪,八掌溪
,湖子內排水(在來排水),158030,2,八掌溪,八掌溪
,後庄排水(隆恩排水),158040,2,八掌溪,八掌溪
59.0,急水溪,159000,1,,急水溪
,龜重溪,159010,2,急水溪,急水溪
,鹿寮溪,159011,3,龜重溪,急水溪
,茄苳溪,159012,3,龜重溪,急水溪
,白水溪,159020,2,急水溪,急水溪
,仙草埔溪,159021,3,白水溪,急水溪
,六重溪,159030,2,急水溪,急水溪
60.0,將軍溪排水(將軍溪),160000,1,,將軍溪排水(將軍溪)
61.0,劉厝排水(七股溪),161000,1,,劉厝排水(七股溪)
,大塭寮排水(三股溪),161010,2,劉厝排水(七股溪),劉厝排水(七股溪)
63.0,曾文溪,163000,1,,曾文溪
,後堀溪,163010,2,曾文溪,曾文溪
,菜寮溪,163020,2,曾文溪,曾文溪
,密枝溪,163030,2,曾文溪,曾文溪
,油車溪,163040,2,曾文溪,曾文溪
,灣丘溪,163041,3,油車溪,曾文溪
,後旦溪,163050,2,曾文溪,曾文溪
,官田溪,163060,2,曾文溪,曾文溪
64.0,鹿耳門溪(鹿耳門排水),164000,1,,鹿耳門溪(鹿耳門排水)
,學甲寮中排,164010,2,鹿耳門溪(鹿耳門排水),鹿耳門溪(鹿耳門排水)
,溪南寮排水,164020,2,鹿耳門溪(鹿耳門排水),鹿耳門溪(鹿耳門排水)
,溪筏港之一排水,164030,2,鹿耳門溪(鹿耳門排水),鹿耳門溪(鹿耳門排水)
,溪筏港之二排水,164040,2,鹿耳門溪(鹿耳門排水),鹿耳門溪(鹿耳門排水)
,土城排水,164050,2,鹿耳門溪(鹿耳門排水),鹿耳門溪(鹿耳門排水)
,土城仔小排一之三,164060,2,鹿耳門溪(鹿耳門排水),鹿耳門溪(鹿耳門排水)
65.0,鹽水溪,165000,1,,鹽水溪
,虎頭溪排水,165010,2,鹽水溪,鹽水溪
,許縣溪,165020,2,鹽水溪,鹽水溪
,那拔林溪,165030,2,鹽水溪,鹽水溪
,大洲排水,165040,2,鹽水溪,鹽水溪
,柴頭港溪排水,165050,2,鹽水溪,鹽水溪
,鹽水溪排水,165060,2,鹽水溪,鹽水溪
,曾文溪排水,165061,3,鹽水溪排水,鹽水溪
,安順寮排水,165062,3,鹽水溪排水,鹽水溪
66.0,二仁溪,166000,1,,二仁溪
,三爺溪排水(三爺宮,166010,2,二仁溪,二仁溪
,西機場排水,166011,3,三爺溪排水(三爺宮,二仁溪
,牛稠埔溪,166020,2,二仁溪,二仁溪
,松子腳溪,166030,2,二仁溪,二仁溪
,深坑子溪,166040,2,二仁溪,二仁溪
,港尾溝排水,166050,2,二仁溪,二仁溪
67.0,阿公店溪,167000,1,,阿公店溪
,濁水溪,167010,2,阿公店溪,阿公店溪
,旺萊溪,167020,2,阿公店溪,阿公店溪
,土庫排水,167030,2,阿公店溪,阿公店溪
,岡山溪,167040,2,阿公店溪,阿公店溪
68.0,典寶溪排水,168000,1,,典寶溪排水
69.0,後勁溪,169000,1,,後勁溪
71.0,前鎮河,171000,1,,前鎮河
72.0,鹽水港溪(山鹽溪),172000,1,,鹽水港溪(山鹽溪)
73.0,高屏溪,173000,1,,高屏溪
,荖濃溪,173010,2,高屏溪,高屏溪
,濁口溪,173011,3,荖濃溪,高屏溪
,寶來溪,173012,3,荖濃溪,高屏溪
,邦腹溪,173013,3,荖濃溪,高屏溪
,扇平溪,173014,3,荖濃溪,高屏溪
,隘寮溪,173020,2,高屏溪,高屏溪
,武洛溪,173021,3,隘寮溪,高屏溪
,隘寮北溪,173022,3,隘寮溪,高屏溪
,隘寮南溪,173023,3,隘寮溪,高屏溪
,旗山溪,173030,2,高屏溪,高屏溪
,口隘溪,173031,3,旗山溪,高屏溪
,美濃溪,173032,3,旗山溪,高屏溪
,武鹿溪,173033,3,旗山溪,高屏溪
,吉洋排水,173034,3,旗山溪,高屏溪
,外六寮排水,173035,3,旗山溪,高屏溪
,高雄農場排水,17303A,4,外六寮排水,高屏溪
,隘丁寮溪,173036,3,旗山溪,高屏溪
,那都魯薩溪（老人溪）,173037,3,旗山溪,高屏溪
74.0,東港溪,174000,1,,東港溪
,牛角灣溪,174010,2,東港溪,東港溪
,萬安溪,174020,2,東港溪,東港溪
75.0,牛埔溪,175000,1,,牛埔溪
76.0,林邊溪,176000,1,,林邊溪
,力力溪,176010,2,林邊溪,林邊溪
77.0,佳冬溪,177000,1,,佳冬溪
78.0,北勢溪,178000,1,,北勢溪
79.0,率芒溪,179000,1,,率芒溪
80.0,南湖溪,180000,1,,南湖溪
81.0,十里溪,181000,1,,十里溪
82.0,枋山溪,182000,1,,枋山溪
83.0,楓港溪,183000,1,,楓港溪
84.0,石盤溪,184000,1,,石盤溪
85.0,四重溪,185000,1,,四重溪
,里仁溪,185010,2,四重溪,四重溪
,牡丹溪,185020,2,四重溪,四重溪
,竹社溪,185030,2,四重溪,四重溪
,大梅溪,185040,2,四重溪,四重溪
86.0,保力溪,186000,1,,保力溪
87.0,港口溪,201000,1,,港口溪
,吧沙加魯溪,201010,2,港口溪,港口溪
,小路溪,201020,2,港口溪,港口溪
,欖仁溪,201030,2,港口溪,港口溪
,老佛溪,201040,2,港口溪,港口溪
,加都魯溪,201050,2,港口溪,港口溪
,林祿溪,201060,2,港口溪,港口溪
,白沙彌溪,201070,2,港口溪,港口溪
88.0,九棚溪,202000,1,,九棚溪
89.0,港子溪,203000,1,,港子溪
90.0,旭海溪(牡丹溪),204000,1,,旭海溪(牡丹溪)
91.0,乾溪(里仁溪),205000,1,,乾溪(里仁溪)
92.0,塔瓦溪,206000,1,,塔瓦溪
93.0,達仁溪,207000,1,,達仁溪
94.0,安朔溪,208000,1,,安朔溪
95.0,朝庸溪,209000,1,,朝庸溪
96.0,大武溪,210000,1,,大武溪
97.0,烏萬溪,211000,1,,烏萬溪
98.0,津林溪,212000,1,,津林溪
99.0,大竹溪,213000,1,,大竹溪
100.0,金崙溪,214000,1,,金崙溪
101.0,太麻里溪,215000,1,,太麻里溪
102.0,文里溪,216000,1,,文里溪
103.0,知本溪,217000,1,,知本溪
104.0,利嘉溪,218000,1,,利嘉溪
105.0,太平溪,219000,1,,太平溪
106.0,卑南溪,220000,1,,卑南溪
,新武呂溪,220010,2,卑南溪,卑南溪
,鹿寮溪,220020,2,卑南溪,卑南溪
,鹿野溪,220030,2,卑南溪,卑南溪
,鹿鳴溪,220031,3,鹿野溪,卑南溪
,嘉豐溪,220032,3,鹿野溪,卑南溪
,嘉豐二號溪,220033,3,鹿野溪,卑南溪
,和平溪,220034,3,鹿野溪,卑南溪
,嘉豐一號溪,220035,3,鹿野溪,卑南溪
,萬安溪,220040,2,卑南溪,卑南溪
,泥水溪,220050,2,卑南溪,卑南溪
,嘉武溪,220060,2,卑南溪,卑南溪
,紅石溪,220070,2,卑南溪,卑南溪
,崁頂溪,220080,2,卑南溪,卑南溪
,加鹿溪,220090,2,卑南溪,卑南溪
,加典溪,2200A0,2,卑南溪,卑南溪
,濁水溪,2200B0,2,卑南溪,卑南溪
,中野溪,2200C0,2,卑南溪,卑南溪
,山里溪,2200D0,2,卑南溪,卑南溪
,富源溪,2200E0,2,卑南溪,卑南溪
,拉庫散溪,2200F0,2,卑南溪,卑南溪
,木坑溪,2200G0,2,卑南溪,卑南溪
,石山溪,2200H0,2,卑南溪,卑南溪
,山里一號溪,2200I0,2,卑南溪,卑南溪
,電光一號溪,2200J0,2,卑南溪,卑南溪
,電光二號溪,2200K0,2,卑南溪,卑南溪
,大崙溪,2200L0,2,卑南溪,卑南溪
107.0,都蘭溪,221000,1,,都蘭溪
108.0,八里溪,222000,1,,八里溪
109.0,馬武溪,223000,1,,馬武溪
110.0,成功溪,224000,1,,成功溪
111.0,富家溪,225000,1,,富家溪
112.0,都威溪,226000,1,,都威溪
113.0,沙灣溪,227000,1,,沙灣溪
114.0,寧埔溪,228000,1,,寧埔溪
115.0,竹湖溪,229000,1,,竹湖溪
116.0,大德溪,230000,1,,大德溪
117.0,長濱溪,231000,1,,長濱溪
118.0,城埔溪,232000,1,,城埔溪
119.0,馬海溪,233000,1,,馬海溪
120.0,山間溪,234000,1,,山間溪
121.0,水母溪,235000,1,,水母溪
122.0,三富溪,236000,1,,三富溪
123.0,秀姑巒溪,237000,1,,秀姑巒溪
,三笠溪,237010,2,秀姑巒溪,秀姑巒溪
,樂樂溪,237020,2,秀姑巒溪,秀姑巒溪
,清水溪,237021,3,樂樂溪,秀姑巒溪
,豐坪溪,237040,2,秀姑巒溪,秀姑巒溪
,中平溪,237041,3,豐坪溪,秀姑巒溪
,紅葉溪,237050,2,秀姑巒溪,秀姑巒溪
,富源溪,237060,2,秀姑巒溪,秀姑巒溪
,富興溪,237061,3,富源溪,秀姑巒溪
,太多蘭溪,237062,3,富源溪,秀姑巒溪
,大肚滑溪,237063,3,富源溪,秀姑巒溪
,阿夜西溪,237064,3,富源溪,秀姑巒溪
,馬遠溪,237065,3,富源溪,秀姑巒溪
,大坡溪,237070,2,秀姑巒溪,秀姑巒溪
,螺仔溪,237090,2,秀姑巒溪,秀姑巒溪
,崙天溪,2370A0,2,秀姑巒溪,秀姑巒溪
,打巴溪,2370A1,3,崙天溪,秀姑巒溪
,秀巒溪,2370A2,3,崙天溪,秀姑巒溪
,九岸溪,2370B0,2,秀姑巒溪,秀姑巒溪
,馬加祿溪,2370C0,2,秀姑巒溪,秀姑巒溪
,阿眉溪,2370D0,2,秀姑巒溪,秀姑巒溪
,安通溪,2370E0,2,秀姑巒溪,秀姑巒溪
,樂合溪,2370F0,2,秀姑巒溪,秀姑巒溪
,高寮溪,2370G0,2,秀姑巒溪,秀姑巒溪
,尋腰溪,2370H0,2,秀姑巒溪,秀姑巒溪
,阿美溪,2370I0,2,秀姑巒溪,秀姑巒溪
,呂範溪,2370J0,2,秀姑巒溪,秀姑巒溪
,苓仔溪【苓雅溪】,2370K0,2,秀姑巒溪,秀姑巒溪
,樂和溪,2370L0,2,秀姑巒溪,秀姑巒溪
,石公溪,2370M0,2,秀姑巒溪,秀姑巒溪
124.0,豐濱溪,238000,1,,豐濱溪
125.0,加蘭溪,239000,1,,加蘭溪
126.0,蕃寮溪,240000,1,,蕃寮溪
127.0,水璉溪,241000,1,,水璉溪
128.0,花蓮溪,242000,1,,花蓮溪
,光復溪,242010,2,花蓮溪,花蓮溪
,大興溪,242011,3,光復溪,花蓮溪
,馬太鞍溪【馬鞍溪】,242020,2,花蓮溪,花蓮溪
,萬里溪,242030,2,花蓮溪,花蓮溪
,壽豐溪,242040,2,花蓮溪,花蓮溪
,木瓜溪,242050,2,花蓮溪,花蓮溪
,文蘭溪,242051,3,木瓜溪,花蓮溪
,河內溪,242060,2,花蓮溪,花蓮溪
,馬佛溪,242070,2,花蓮溪,花蓮溪
,羅莫溪,242080,2,花蓮溪,花蓮溪
,加里洞溪,242090,2,花蓮溪,花蓮溪
,鳳林溪,2420A0,2,花蓮溪,花蓮溪
,北清水溪,2420B0,2,花蓮溪,花蓮溪
,麗太溪,2420D0,2,花蓮溪,花蓮溪
,南清水溪,2420E0,2,花蓮溪,花蓮溪
,大和溪,2420F0,2,花蓮溪,花蓮溪
129.0,吉安溪,243000,1,,吉安溪
130.0,美崙溪,244000,1,,美崙溪
131.0,三棧溪,245000,1,,三棧溪
132.0,立霧溪,246000,1,,立霧溪
133.0,石公溪,247000,1,,石公溪
134.0,大富溪,248000,1,,大富溪
135.0,大清水溪,249000,1,,大清水溪
136.0,和平溪,250000,1,,和平溪
,和平北溪,250010,2,和平溪,和平溪
,和平南溪,250020,2,和平溪,和平溪
137.0,南澳溪,251000,1,,南澳溪
,南澳北溪,251010,2,南澳溪,南澳溪
,南澳南溪,251020,2,南澳溪,南澳溪
138.0,東澳溪,252000,1,,東澳溪
139.0,蘇澳溪,253000,1,,蘇澳溪
,白米溪,253010,2,蘇澳溪,蘇澳溪
140.0,新城溪,254000,1,,新城溪
141.0,冬山河,255000,1,,冬山河
,五結排水,255010,2,冬山河,冬山河
,二結排水,255011,3,五結排水,冬山河
,大吉排水,255012,3,五結排水,冬山河
,四結排水,255013,3,五結排水,冬山河
,廣興排水,255014,3,五結排水,冬山河
,平行水路排水,255020,2,冬山河,冬山河
,大埔排水,255021,3,平行水路排水,冬山河
,打那岸排水,255030,2,冬山河,冬山河
,月眉排水,255031,3,打那岸排水,冬山河
,十六份排水,255040,2,冬山河,冬山河
,冬螺排水,255041,3,十六份排水,冬山河
,羅莊排水,25504A,4,冬螺排水,冬山河
,北富八仙排水,255042,3,十六份排水,冬山河
,冬山河北側排水,255050,2,冬山河,冬山河
,新寮溪,255060,2,冬山河,冬山河
,十三份坑排水,255061,3,新寮溪,冬山河
,五股排水（冬山）,255070,2,冬山河,冬山河
,林和源排水,255080,2,冬山河,冬山河
,林寶春排水,255081,3,林和源排水,冬山河
,安平坑排水,255090,2,冬山河,冬山河
,照安坑排水,255091,3,安平坑排水,冬山河
,舊寮溪,2550A0,2,冬山河,冬山河
142.0,蘭陽溪,256000,1,,蘭陽溪
,羅東溪,256010,2,蘭陽溪,蘭陽溪
,打狗溪,256011,3,羅東溪,蘭陽溪
,安農溪,256012,3,羅東溪,蘭陽溪
,大坑溪,25601C,4,安農溪,蘭陽溪
,柑仔坑溪,25601D,4,安農溪,蘭陽溪
,三星排水,25601A,4,安農溪,蘭陽溪
,阿里史排水,25601B,4,安農溪,蘭陽溪
,萬富大排,25601E,4,安農溪,蘭陽溪
,行健溪,25601F,4,安農溪,蘭陽溪
,出水溪,256013,3,羅東溪,蘭陽溪
,宜蘭河(宜蘭溪),256020,2,蘭陽溪,蘭陽溪
,五十溪,256021,3,宜蘭河(宜蘭溪),蘭陽溪
,中城排水,25602E,4,五十溪,蘭陽溪
,茄苳林二排,25602F,4,五十溪,蘭陽溪
,大湖排水,25602D,4,五十溪,蘭陽溪
,大湖溪,256022,3,宜蘭河(宜蘭溪),蘭陽溪
,大礁溪,256023,3,宜蘭河(宜蘭溪),蘭陽溪
,小礁溪,256024,3,宜蘭河(宜蘭溪),蘭陽溪
,廍後排水,256025,3,宜蘭河(宜蘭溪),蘭陽溪
,壯東一大排,256026,3,宜蘭河(宜蘭溪),蘭陽溪
,梅洲大排,256027,3,宜蘭河(宜蘭溪),蘭陽溪
,頭份大排,256028,3,宜蘭河(宜蘭溪),蘭陽溪
,梅洲中排二,256029,3,宜蘭河(宜蘭溪),蘭陽溪
,美福排水,25602A,3,宜蘭河(宜蘭溪),蘭陽溪
,舊港排水,25602B,4,美福排水,蘭陽溪
,建業排水,25602C,4,美福排水,蘭陽溪
,清水溪,256030,2,蘭陽溪,蘭陽溪
,牛鬥坑溪,256031,3,清水溪,蘭陽溪
,粗坑溪,256040,2,蘭陽溪,蘭陽溪
,頂粗坑溪,256050,2,蘭陽溪,蘭陽溪
,崙埤溪,256060,2,蘭陽溪,蘭陽溪
,破鐺溪,256070,2,蘭陽溪,蘭陽溪
,松羅溪,256080,2,蘭陽溪,蘭陽溪
,圓山溪,256090,2,蘭陽溪,蘭陽溪
,梵梵溪,2560A0,2,蘭陽溪,蘭陽溪
,排谷溪,2560B0,2,蘭陽溪,蘭陽溪
,東壘溪,2560C0,2,蘭陽溪,蘭陽溪
,碼崙溪,2560D0,2,蘭陽溪,蘭陽溪
,土場溪,2560E0,2,蘭陽溪,蘭陽溪
,天狗溪,2560F0,2,蘭陽溪,蘭陽溪
,嘉興溪,2560G0,2,蘭陽溪,蘭陽溪
,加蘭溪,2560H0,2,蘭陽溪,蘭陽溪
,德荃溪,2560I0,2,蘭陽溪,蘭陽溪
,志航溪,2560J0,2,蘭陽溪,蘭陽溪
,茂安溪,2560K0,2,蘭陽溪,蘭陽溪
,留茂安溪,2560L0,2,蘭陽溪,蘭陽溪
,加納富溪,2560M0,2,蘭陽溪,蘭陽溪
,碧水溪,2560N0,2,蘭陽溪,蘭陽溪
,四重溪,2560O0,2,蘭陽溪,蘭陽溪
,美優溪,2560P0,2,蘭陽溪,蘭陽溪
,實谷富溪,2560Q0,2,蘭陽溪,蘭陽溪
,夫布爾溪,2560R0,2,蘭陽溪,蘭陽溪
,石頭溪,2560S0,2,蘭陽溪,蘭陽溪
,埤南溪,2560T0,2,蘭陽溪,蘭陽溪
,北古斯溪,2560U0,2,蘭陽溪,蘭陽溪
,卑優安溪,2560V0,2,蘭陽溪,蘭陽溪
,保養溪,2560W0,2,蘭陽溪,蘭陽溪
,美羅溪,2560X0,2,蘭陽溪,蘭陽溪
143.0,得子口溪,257000,1,,得子口溪
,七結排水,257010,2,得子口溪,得子口溪
,竹安排水,257020,2,得子口溪,得子口溪
,十三股大排,257030,2,得子口溪,得子口溪
,壯西排水,257031,3,十三股大排,得子口溪
,大富排水,257032,3,十三股大排,得子口溪
,武暖排水,257040,2,得子口溪,得子口溪
,黃德記排水,257041,3,武暖排水,得子口溪
,猴洞溪,257050,2,得子口溪,得子口溪
,抵美簡排水,257051,3,猴洞溪,得子口溪
,下埔排水,257052,3,猴洞溪,得子口溪
,砂仔港排水（礁溪）,257060,2,得子口溪,得子口溪
,湯圍中一排,257061,3,砂仔港排水（礁溪）,得子口溪
,二龍排水,257070,2,得子口溪,得子口溪
,民生排水,257080,2,得子口溪,得子口溪
,李寶興排水,257090,2,得子口溪,得子口溪
144.0,金面溪,258000,1,,金面溪
145.0,福德溪,259000,1,,福德溪
146.0,頭城溪,260000,1,,頭城溪
147.0,大溪川,261000,1,,大溪川
149.0,尖山腳溪,263000,1,,尖山腳溪
150.0,瑪鋉溪,264000,1,,瑪鋉溪
151.0,員潭溪,265000,1,,員潭溪
